enemy_team_id,mission,leader,effect_ext,ai_name,member
-2,,稻草人,,待机,稻草人*1|龙骑兵*14
-1,,胡蜂,,待机,切割者*2|巡游者*9|胡蜂*2
1,演习训练,工蜂型民用靶机,,待机,工蜂型民用靶机*1
2,,工蜂型民用靶机,,待机,工蜂型民用靶机*3
3,转移伤患,巡游者,,待机,巡游者*3
4,转移伤患,巡游者,,待机,巡游者*4
5,转移伤患,巡游者,,待机,巡游者*6
6,转移伤患,巡游者,,待机,巡游者*4
7,调查异常,巡游者,,待机,巡游者*5
8,调查异常,侦查者,,待机,侦查者*3|巡游者*2
9,调查异常,侦查者,,待机,侦查者*2|巡游者*3
10,调查异常,侦查者,,待机,侦查者*5
11,失踪人口,巡游者,,待机,侦查者*2|巡游者*3
12,失踪人口,巡游者,,待机,巡游者*5
13,失踪人口,侦查者,,待机,侦查者*5
14,失踪人口,切割者,,待机,切割者*1|巡游者*4
15,救援信号,侦查者,,待机,侦查者*4|切割者*1
16,救援信号,侦查者,,待机,侦查者*3|巡游者*2
17,救援信号,切割者,,待机,切割者*2|巡游者*3
18,救援信号,切割者,,待机,侦查者*2|切割者*1|巡游者*2
19,救援信号,巡游者,,待机,巡游者*5
20,救援信号,切割者,,待机,切割者*3
21,除草行动,巡游者,,待机,切割者*1|巡游者*4
22,除草行动,侦查者,,待机,侦查者*3|巡游者*2
23,除草行动,切割者,,待机,切割者*3
24,除草行动,巡游者,,待机,切割者*2|巡游者*2
25,除草行动,侦查者,,待机,侦查者*3|巡游者*3
26,除草行动,切割者,,待机,切割者*4
27,除草行动,稻草人,,待机,巡游者*4|稻草人*1
28,除草行动,侦查者,,待机,侦查者*5
29,进阶训练Ⅰ,巡游者,,待机,巡游者*5
30,进阶训练Ⅰ,侦查者,,待机,侦查者*5
31,进阶训练Ⅰ,切割者,,待机,切割者*3
32,进阶训练Ⅰ,切割者,,待机,切割者*5
33,进阶训练Ⅱ,侦查者,,待机,侦查者*3|巡游者*3
34,进阶训练Ⅱ,切割者,,待机,切割者*3
35,进阶训练Ⅱ,侦查者,,待机,侦查者*3|巡游者*4
36,进阶训练Ⅱ,切割者,,待机,切割者*3|巡游者*4
37,进阶训练Ⅲ,巡游者,,待机,巡游者*5
38,进阶训练Ⅲ,侦查者,,待机,侦查者*2|巡游者*3
39,进阶训练Ⅲ,切割者,,待机,切割者*5
40,进阶训练Ⅲ,胡蜂,,待机,切割者*2|巡游者*2|胡蜂*1
41,进阶训练Ⅲ,胡蜂,,待机,胡蜂*3
42,进阶训练Ⅲ,胡蜂,,待机,胡蜂*5
43,进阶训练Ⅳ,侦查者,,待机,侦查者*4|巡游者*4|胡蜂*1
44,进阶训练Ⅳ,胡蜂,,待机,胡蜂*3
45,进阶训练Ⅳ,切割者,,待机,切割者*4
46,进阶训练Ⅳ,胡蜂,,待机,切割者*2|胡蜂*3
47,进阶训练Ⅳ,胡蜂,,待机,胡蜂*3
48,进阶训练Ⅳ,胡蜂,,待机,巡游者*2|胡蜂*3
49,进阶训练Ⅳ,稻草人,,待机,稻草人*1|胡蜂*4
